,Country,Happiness Rank,Happiness Score_x,Economy (GDP per Capita)_x,Freedom_x,Trust (Government Corruption)_x,Generosity_x,Year,index,Regional indicator,Happiness Score_y,Standard error of ladder score,upperwhisker,lowerwhisker,Economy (GDP per Capita)_y,Social support,Healthy life expectancy,Freedom_y,Generosity_y,Trust (Government Corruption)_y,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Rank 2020,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,McMeal($),Unnamed: 9
16,Canada,6,7.404,1.44015,0.5737,0.31329,0.44834,2016,13,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,31.0,66.18,29.28,48.21,63.4,59.6,83.22,7.68,
17,Netherlands,7,7.339,1.46468,0.55211,0.29927,0.47416,2016,4,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17.0,74.63,35.59,55.62,57.81,76.09,86.76,9.52,
18,New Zealand,8,7.334,1.36066,0.58147,0.41904,0.49401,2016,8,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,23.0,71.83,31.74,52.31,66.29,63.05,87.22,8.36,
19,Australia,9,7.313,1.44443,0.56837,0.32331,0.47407,2016,10,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,16.0,75.89,34.18,55.58,70.62,68.88,103.38,8.8,
20,Sweden,10,7.291,1.45181,0.58218,0.40867,0.38254,2016,6,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,22.0,72.31,25.86,49.69,63.62,71.03,94.04,9.36,
21,Austria,12,7.119,1.45038,0.54355,0.21348,0.32865,2016,9,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,24.0,71.78,26.32,49.64,63.63,66.24,79.38,9.52,
22,Norway,1,7.53700017929077,1.61646318435669,0.635422587394714,0.315963834524155,0.36201223731041,2017,5,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,3.0,96.8,32.61,65.54,89.55,96.81,83.4,12.36,
23,Denmark,2,7.52199983596802,1.48238301277161,0.626006722450256,0.40077006816864,0.355280488729477,2017,1,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,6.0,85.02,33.1,59.74,65.85,95.71,101.27,12.63,
24,Iceland,3,7.50400018692017,1.480633020401,0.627162635326385,0.153526559472084,0.475540220737457,2017,3,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,4.0,90.19,38.54,65.04,80.91,97.17,74.78,13.31,
25,Switzerland,4,7.49399995803833,1.56497955322266,0.620070576667786,0.367007285356522,0.290549278259277,2017,2,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2.0,125.69,51.2,89.41,124.93,118.55,114.83,15.36,
26,Finland,5,7.4689998626709,1.44357192516327,0.617950856685638,0.38261154294014,0.24548277258873,2017,0,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,20.0,72.71,25.89,49.91,59.61,77.75,93.94,9.52,
27,Netherlands,6,7.3769998550415,1.50394463539124,0.585384488105774,0.282661825418472,0.470489829778671,2017,4,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17.0,74.63,35.59,55.62,57.81,76.09,86.76,9.52,
28,Canada,7,7.31599998474121,1.47920441627502,0.611100912094116,0.287371516227722,0.435539722442627,2017,13,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,31.0,66.18,29.28,48.21,63.4,59.6,83.22,7.68,
29,New Zealand,8,7.31400012969971,1.40570604801178,0.614062130451202,0.382816702127457,0.500005125999451,2017,8,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,23.0,71.83,31.74,52.31,66.29,63.05,87.22,8.36,
30,Sweden,9,7.28399991989136,1.49438726902008,0.612924098968506,0.384398728609085,0.385399252176285,2017,6,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,22.0,72.31,25.86,49.69,63.62,71.03,94.04,9.36,
31,Australia,10,7.28399991989136,1.484414935112,0.601607382297516,0.301183730363846,0.477699249982834,2017,10,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,16.0,75.89,34.18,55.58,70.62,68.88,103.38,8.8,
32,Austria,13,7.00600004196167,1.48709726333618,0.567766189575195,0.221060365438461,0.316472321748734,2017,9,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,24.0,71.78,26.32,49.64,63.63,66.24,79.38,9.52,
33,Finland,1,7.632,1.305,0.681,0.393,0.202,2018,0,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,20.0,72.71,25.89,49.91,59.61,77.75,93.94,9.52,
34,Norway,2,7.594,1.456,0.686,0.34,0.286,2018,5,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,3.0,96.8,32.61,65.54,89.55,96.81,83.4,12.36,
35,Denmark,3,7.555,1.351,0.683,0.408,0.284,2018,1,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,6.0,85.02,33.1,59.74,65.85,95.71,101.27,12.63,
36,Iceland,4,7.495,1.343,0.677,0.138,0.353,2018,3,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,4.0,90.19,38.54,65.04,80.91,97.17,74.78,13.31,
37,Switzerland,5,7.487,1.42,0.66,0.357,0.256,2018,2,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2.0,125.69,51.2,89.41,124.93,118.55,114.83,15.36,
38,Netherlands,6,7.441,1.361,0.638,0.295,0.333,2018,4,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17.0,74.63,35.59,55.62,57.81,76.09,86.76,9.52,
39,Canada,7,7.328,1.33,0.653,0.291,0.321,2018,13,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,31.0,66.18,29.28,48.21,63.4,59.6,83.22,7.68,
40,New Zealand,8,7.324,1.268,0.669,0.389,0.365,2018,8,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,23.0,71.83,31.74,52.31,66.29,63.05,87.22,8.36,
41,Sweden,9,7.314,1.355,0.659,0.383,0.285,2018,6,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,22.0,72.31,25.86,49.69,63.62,71.03,94.04,9.36,
42,Australia,10,7.272,1.34,0.647,0.302,0.361,2018,10,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,16.0,75.89,34.18,55.58,70.62,68.88,103.38,8.8,
43,Austria,12,7.139,1.341,0.617,0.224,0.242,2018,9,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,24.0,71.78,26.32,49.64,63.63,66.24,79.38,9.52,
44,Finland,1,7.769,1.34,0.596,0.393,0.153,2019,0,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,20.0,72.71,25.89,49.91,59.61,77.75,93.94,9.52,
45,Denmark,2,7.6,1.383,0.592,0.41,0.252,2019,1,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,6.0,85.02,33.1,59.74,65.85,95.71,101.27,12.63,
46,Norway,3,7.554,1.488,0.603,0.341,0.271,2019,5,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,3.0,96.8,32.61,65.54,89.55,96.81,83.4,12.36,
47,Iceland,4,7.494,1.38,0.591,0.118,0.354,2019,3,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,4.0,90.19,38.54,65.04,80.91,97.17,74.78,13.31,
48,Netherlands,5,7.488,1.396,0.557,0.298,0.322,2019,4,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,17.0,74.63,35.59,55.62,57.81,76.09,86.76,9.52,
49,Switzerland,6,7.48,1.452,0.572,0.343,0.263,2019,2,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,2.0,125.69,51.2,89.41,124.93,118.55,114.83,15.36,
50,Sweden,7,7.343,1.387,0.574,0.373,0.267,2019,6,Western Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,22.0,72.31,25.86,49.69,63.62,71.03,94.04,9.36,
51,New Zealand,8,7.307,1.303,0.585,0.38,0.33,2019,8,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,23.0,71.83,31.74,52.31,66.29,63.05,87.22,8.36,
52,Canada,9,7.278,1.365,0.584,0.308,0.285,2019,13,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,31.0,66.18,29.28,48.21,63.4,59.6,83.22,7.68,
53,Austria,10,7.246,1.376,0.532,0.226,0.244,2019,9,Western Europe,7.268,0.036,7.337,7.198,10.906,0.934,73.3,0.908,0.042,0.481,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,24.0,71.78,26.32,49.64,63.63,66.24,79.38,9.52,
54,Australia,11,7.228,1.372,0.557,0.29,0.332,2019,10,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,16.0,75.89,34.18,55.58,70.62,68.88,103.38,8.8,
